Crop,N/K Test Value,Urea,MoP,P/S Test Value,TSP/DAP Olsen Method,TSP/DAP Bray & Kurtz,Gypsum,Zn Test Value,Zn Sulphate Hepta Hydrate,Equivalent Gypsum
Boro Rice(BRI 29),0,2109,1231,0,648,648,539,0,75,44
Boro Rice(BRI 29),0.01,2050,1190,1,621,605,524,0.05,72,42
Boro Rice(BRI 29),0.02,1991,1149,2,594,561,509,0.1,69,41
Boro Rice(BRI 29),0.03,1933,1108,3,567,518,494,0.15,67,39
Boro Rice(BRI 29),0.04,1874,1067,4,540,475,479,0.2,64,37
Boro Rice(BRI 29),0.05,1816,1026,5,513,432,464,0.25,61,36
Boro Rice(BRI 29),0.06,1757,985,6,486,389,449,0.3,58,34
Boro Rice(BRI 29),0.07,1699,944,7,459,345,434,0.35,56,32
Boro Rice(BRI 29),0.08,1640,903,8,432,302,419,0.4,53,31
Boro Rice(BRI 29),0.09,1581,862,9,405,259,404,0.45,50,29
Boro Rice(BRI 29),0.1,1523,821,10,378,216,389,0.5,47,28
Boro Rice(BRI 29),0.11,1464,780,11,351,173,374,0.55,44,26
Boro Rice(BRI 29),0.12,1406,739,12,324,130,360,0.6,42,24
Boro Rice(BRI 29),0.13,1347,698,13,297,86,345,0.65,39,23
Boro Rice(BRI 29),0.14,1289,656,14,270,43,330,0.7,36,21
Boro Rice(BRI 29),0.15,1230,615,15,243,0,315,0.75,33,19
Boro Rice(BRI 29),0.16,1171,574,16,216,,300,0.8,31,18
Boro Rice(BRI 29),0.17,1113,533,17,189,,285,0.85,28,16
Boro Rice(BRI 29),0.18,1054,492,18,162,,270,0.9,25,15
Boro Rice(BRI 29),0.19,996,451,19,135,,255,0.95,22,13
Boro Rice(BRI 29),0.2,937,410,20,108,,240,1,19,11
Boro Rice(BRI 29),0.21,879,369,21,81,,225,1.05,17,10
Boro Rice(BRI 29),0.22,820,328,22,54,,210,1.1,14,8
Boro Rice(BRI 29),0.23,762,287,23,27,,195,1.15,11,6
Boro Rice(BRI 29),0.24,703,246,24,0,,180,1.2,8,5
Boro Rice(BRI 29),0.25,644,205,25,,,165,1.25,6,3
Boro Rice(BRI 29),0.26,586,164,26,,,150,1.3,3,2
Boro Rice(BRI 29),0.27,527,123,27,,,135,1.35,0,0
Boro Rice(BRI 29),0.28,469,82,28,,,120,,,
Boro Rice(BRI 29),0.29,410,41,29,,,105,,,
Boro Rice(BRI 29),0.3,352,0,30,,,90,,,
Boro Rice(BRI 29),0.31,293,,31,,,75,,,
Boro Rice(BRI 29),0.32,234,,32,,,60,,,
Boro Rice(BRI 29),0.33,176,,33,,,45,,,
Boro Rice(BRI 29),0.34,117,,34,,,30,,,
Boro Rice(BRI 29),0.35,59,,35,,,15,,,
Boro Rice(BRI 29),0.36,0,,36,,,0,,,
Boro Rice(BRI 28),0,1687,972,0,567,567,360,0,58,34
Boro Rice(BRI 28),0.01,1640,939,1,543,529,350,0.05,56,32
Boro Rice(BRI 28),0.02,1593,907,2,520,491,340,0.1,53,31
Boro Rice(BRI 28),0.03,1546,874,3,496,453,330,0.15,51,30
Boro Rice(BRI 28),0.04,1499,842,4,472,416,320,0.2,49,29
Boro Rice(BRI 28),0.05,1453,810,5,449,378,310,0.25,47,27
Boro Rice(BRI 28),0.06,1406,777,6,425,340,300,0.3,45,26
Boro Rice(BRI 28),0.07,1359,745,7,402,302,290,0.35,43,25
Boro Rice(BRI 28),0.08,1312,713,8,378,265,280,0.4,41,24
Boro Rice(BRI 28),0.09,1265,680,9,354,227,270,0.45,38,22
Boro Rice(BRI 28),0.1,1218,648,10,331,189,260,0.5,36,21
Boro Rice(BRI 28),0.11,1171,615,11,307,151,250,0.55,34,20
Boro Rice(BRI 28),0.12,1125,583,12,284,114,240,0.6,32,19
Boro Rice(BRI 28),0.13,1078,551,13,260,76,230,0.65,30,17
Boro Rice(BRI 28),0.14,1031,518,14,236,38,220,0.7,28,16
Boro Rice(BRI 28),0.15,984,486,15,213,0,210,0.75,26,15
Boro Rice(BRI 28),0.16,937,453,16,189,,200,0.8,24,14
Boro Rice(BRI 28),0.17,890,421,17,166,,190,0.85,21,12
Boro Rice(BRI 28),0.18,843,389,18,142,,180,0.9,19,11
Boro Rice(BRI 28),0.19,797,356,19,118,,170,0.95,17,10
Boro Rice(BRI 28),0.2,750,324,20,95,,160,1,15,9
Boro Rice(BRI 28),0.21,703,291,21,71,,150,1.05,13,7
Boro Rice(BRI 28),0.22,656,259,22,48,,140,1.1,11,6
Boro Rice(BRI 28),0.23,609,227,23,24,,130,1.15,9,5
Boro Rice(BRI 28),0.24,562,194,24,0,,120,1.2,6,4
Boro Rice(BRI 28),0.25,515,162,25,,,110,1.25,4,2
Boro Rice(BRI 28),0.26,469,130,26,,,100,1.3,2,1
Boro Rice(BRI 28),0.27,422,97,27,,,90,1.35,0,0
Boro Rice(BRI 28),0.28,375,65,28,,,80,,,
Boro Rice(BRI 28),0.29,328,32,29,,,70,,,
Boro Rice(BRI 28),0.3,281,0,30,,,60,,,
Boro Rice(BRI 28),0.31,234,,31,,,50,,,
Boro Rice(BRI 28),0.32,188,,32,,,40,,,
Boro Rice(BRI 28),0.33,141,,33,,,30,,,
Boro Rice(BRI 28),0.34,94,,34,,,20,,,
Boro Rice(BRI 28),0.35,47,,35,,,10,,,
Boro Rice(BRI 28),0.36,0,,36,,,0,,,
Boro Rice(BRI 36),0,1406,810,0,486,486,360,0,46,27
Boro Rice(BRI 36),0.01,1367,783,1,466,453,350,0.05,44,26
Boro Rice(BRI 36),0.02,1328,756,2,445,421,340,0.1,43,25
Boro Rice(BRI 36),0.03,1289,729,3,425,389,330,0.15,41,24
Boro Rice(BRI 36),0.04,1249,702,4,405,356,320,0.2,39,23
Boro Rice(BRI 36),0.05,1210,675,5,385,324,310,0.25,38,22
Boro Rice(BRI 36),0.06,1171,648,6,364,291,300,0.3,36,21
Boro Rice(BRI 36),0.07,1132,621,7,344,259,290,0.35,34,20
Boro Rice(BRI 36),0.08,1093,594,8,324,227,280,0.4,32,19
Boro Rice(BRI 36),0.09,1054,567,9,304,194,270,0.45,31,18
Boro Rice(BRI 36),0.1,1015,540,10,283,162,260,0.5,29,17
Boro Rice(BRI 36),0.11,976,513,11,263,130,250,0.55,27,16
Boro Rice(BRI 36),0.12,937,486,12,243,97,240,0.6,26,15
Boro Rice(BRI 36),0.13,898,459,13,223,65,230,0.65,24,14
Boro Rice(BRI 36),0.14,859,432,14,202,32,220,0.7,22,13
Boro Rice(BRI 36),0.15,820,405,15,182,0,210,0.75,21,12
Boro Rice(BRI 36),0.16,781,378,16,162,,200,0.8,19,11
Boro Rice(BRI 36),0.17,742,351,17,142,,190,0.85,17,10
Boro Rice(BRI 36),0.18,703,324,18,121,,180,0.9,15,9
Boro Rice(BRI 36),0.19,664,297,19,101,,170,0.95,14,8
Boro Rice(BRI 36),0.2,625,270,20,81,,160,1,12,7
Boro Rice(BRI 36),0.21,586,243,21,61,,150,1.05,10,6
Boro Rice(BRI 36),0.22,547,216,22,40,,140,1.1,9,5
Boro Rice(BRI 36),0.23,508,189,23,20,,130,1.15,7,4
Boro Rice(BRI 36),0.24,469,162,24,0,,120,1.2,5,3
Boro Rice(BRI 36),0.25,430,135,25,,,110,1.25,3,2
Boro Rice(BRI 36),0.26,391,108,26,,,100,1.3,2,1
Boro Rice(BRI 36),0.27,352,81,27,,,90,1.35,0,0
Boro Rice(BRI 36),0.28,312,54,28,,,80,,,
Boro Rice(BRI 36),0.29,273,27,29,,,70,,,
Boro Rice(BRI 36),0.3,234,0,30,,,60,,,
Boro Rice(BRI 36),0.31,195,,31,,,50,,,
Boro Rice(BRI 36),0.32,156,,32,,,40,,,
Boro Rice(BRI 36),0.33,117,,33,,,30,,,
Boro Rice(BRI 36),0.34,78,,34,,,20,,,
Boro Rice(BRI 36),0.35,39,,35,,,10,,,
Boro Rice(BRI 36),0.36,0,,36,,,0,,,
Aus(BRI 27),0,773,486,0,324,324,270,0,35,20
Aus(BRI 27),0.01,752,470,1,310,302,263,0.05,33,19
Aus(BRI 27),0.02,730,453,2,297,281,255,0.1,32,19
Aus(BRI 27),0.03,709,437,3,283,259,248,0.15,31,18
Aus(BRI 27),0.04,687,421,4,270,238,240,0.2,29,17
Aus(BRI 27),0.05,666,405,5,256,216,233,0.25,28,16
Aus(BRI 27),0.06,644,389,6,243,194,225,0.3,27,16
Aus(BRI 27),0.07,623,372,7,230,173,218,0.35,26,15
Aus(BRI 27),0.08,601,356,8,216,151,210,0.4,24,14
Aus(BRI 27),0.09,580,340,9,203,130,203,0.45,23,13
Aus(BRI 27),0.1,558,324,10,189,108,195,0.5,22,13
Aus(BRI 27),0.11,537,308,11,176,87,188,0.55,21,12
Aus(BRI 27),0.12,515,291,12,162,65,180,0.6,19,11
Aus(BRI 27),0.13,494,275,13,149,43,173,0.65,18,10
Aus(BRI 27),0.14,473,259,14,135,22,165,0.7,17,10
Aus(BRI 27),0.15,451,243,15,122,0,158,0.75,15,9
Aus(BRI 27),0.16,430,227,16,108,,150,0.8,14,8
Aus(BRI 27),0.17,408,211,17,95,,143,0.85,13,7
Aus(BRI 27),0.18,387,194,18,81,,135,0.9,12,7
Aus(BRI 27),0.19,365,178,19,68,,128,0.95,10,6
Aus(BRI 27),0.2,344,162,20,54,,120,1,9,5
Aus(BRI 27),0.21,322,146,21,41,,113,1.05,8,4
Aus(BRI 27),0.22,301,130,22,27,,105,1.1,6,4
Aus(BRI 27),0.23,279,113,23,14,,98,1.15,5,3
Aus(BRI 27),0.24,258,97,24,0,,90,1.2,4,2
Aus(BRI 27),0.25,236,81,25,,,83,1.25,3,2
Aus(BRI 27),0.26,215,65,26,,,75,1.3,1,1
Aus(BRI 27),0.27,193,49,27,,,68,1.35,0,0
Aus(BRI 27),0.28,172,32,28,,,60,,,
Aus(BRI 27),0.29,150,16,29,,,53,,,
Aus(BRI 27),0.3,129,0,30,,,45,,,
Aus(BRI 27),0.31,107,,31,,,38,,,
Aus(BRI 27),0.32,86,,32,,,30,,,
Aus(BRI 27),0.33,65,,33,,,23,,,
Aus(BRI 27),0.34,43,,34,,,15,,,
Aus(BRI 27),0.35,22,,35,,,8,,,
Aus(BRI 27),0.36,0,,36,,,0,,,
Aus(BRI 42),0,773,486,0,324,324,270,0,35,20
Aus(BRI 42),0.01,752,470,1,310,302,263,0.05,33,19
Aus(BRI 42),0.02,730,453,2,297,281,255,0.1,32,19
Aus(BRI 42),0.03,709,437,3,283,259,248,0.15,31,18
Aus(BRI 42),0.04,687,421,4,270,238,240,0.2,29,17
Aus(BRI 42),0.05,666,405,5,256,216,233,0.25,28,16
Aus(BRI 42),0.06,644,389,6,243,194,225,0.3,27,16
Aus(BRI 42),0.07,623,372,7,230,173,218,0.35,26,15
Aus(BRI 42),0.08,601,356,8,216,151,210,0.4,24,14
Aus(BRI 42),0.09,580,340,9,203,130,203,0.45,23,13
Aus(BRI 42),0.1,558,324,10,189,108,195,0.5,22,13
Aus(BRI 42),0.11,537,308,11,176,87,188,0.55,21,12
Aus(BRI 42),0.12,515,291,12,162,65,180,0.6,19,11
Aus(BRI 42),0.13,494,275,13,149,43,173,0.65,18,10
Aus(BRI 42),0.14,473,259,14,135,22,165,0.7,17,10
Aus(BRI 42),0.15,451,243,15,122,0,158,0.75,15,9
Aus(BRI 42),0.16,430,227,16,108,,150,0.8,14,8
Aus(BRI 42),0.17,408,211,17,95,,143,0.85,13,7
Aus(BRI 42),0.18,387,194,18,81,,135,0.9,12,7
Aus(BRI 42),0.19,365,178,19,68,,128,0.95,10,6
Aus(BRI 42),0.2,344,162,20,54,,120,1,9,5
Aus(BRI 42),0.21,322,146,21,41,,113,1.05,8,4
Aus(BRI 42),0.22,301,130,22,27,,105,1.1,6,4
Aus(BRI 42),0.23,279,113,23,14,,98,1.15,5,3
Aus(BRI 42),0.24,258,97,24,0,,90,1.2,4,2
Aus(BRI 42),0.25,236,81,25,,,83,1.25,3,2
Aus(BRI 42),0.26,215,65,26,,,75,1.3,1,1
Aus(BRI 42),0.27,193,49,27,,,68,1.35,0,0
Aus(BRI 42),0.28,172,32,28,,,60,,,
Aus(BRI 42),0.29,150,16,29,,,53,,,
Aus(BRI 42),0.3,129,0,30,,,45,,,
Aus(BRI 42),0.31,107,,31,,,38,,,
Aus(BRI 42),0.32,86,,32,,,30,,,
Aus(BRI 42),0.33,65,,33,,,23,,,
Aus(BRI 42),0.34,43,,34,,,15,,,
Aus(BRI 42),0.35,22,,35,,,8,,,
Aus(BRI 42),0.36,0,,36,,,0,,,
B. Aman,0,422,324,0,243,243,180,0,29,17
B. Aman,0.01,410,313,1,233,227,175,0.05,28,16
B. Aman,0.02,398,302,2,223,211,170,0.1,27,16
B. Aman,0.03,387,292,3,213,194,165,0.15,26,15
B. Aman,0.04,375,281,4,202,178,160,0.2,25,14
B. Aman,0.05,363,270,5,192,162,155,0.25,24,14
B. Aman,0.06,351,259,6,182,146,150,0.3,22,13
B. Aman,0.07,340,248,7,172,130,145,0.35,21,12
B. Aman,0.08,328,238,8,162,113,140,0.4,20,12
B. Aman,0.09,316,227,9,152,97,135,0.45,19,11
B. Aman,0.1,305,216,10,142,81,130,0.5,18,11
B. Aman,0.11,293,205,11,132,65,125,0.55,17,10
B. Aman,0.12,281,194,12,121,49,120,0.6,16,9
B. Aman,0.13,269,184,13,111,32,115,0.65,15,9
