,Before Fertilizing,,,,,,,,,,,,After Fertilizing,,,,,,,,,,,
,Sensor Data ,,,,,,Labtest Data,,,,,,Sensor Data,,,,,,Calculated Data,,,,,
Sample,pH,Temperature,Humidity,N(%),P(mg/kg),K(ml eq/100 gm),pH,Temperature,Humidity,N(%),P(mg/kg),K(ml eq/100 gm),pH,Temperature,Humidity,N(%),P(mg/kg),K(ml eq/100 gm),pH,Temperature,Humidity,N(%),P(mg/kg),K(ml eq/100 gm)
U1,6.1,29.71,26.39,0,20.71,0.031,7.8,29.71,26.39,0.05,3.8,0.37,8.3,28.2,55.1,0.003,104,0.248,7.98,28.2,52.39,0.0526,3.80,0.3700
U2,,,,,,,,,,,,,8.6,28.1,55,0.003,107,0.256,8.15,28.1,52.39,0.0550,3.80,0.3700
U3,,,,,,,,,,,,,7.9,28.8,49.5,0.003,127,0.307,8.34,28.8,52.39,0.0575,3.80,0.3700
U4,,,,,,,,,,,,,7.9,28,49.8,0.004,138,0.335,8.51,28.0,52.39,0.0599,3.80,0.3700
U5,,,,,,,,,,,,,7.7,27.8,52.7,0.005,161,0.394,8.69,27.8,52.39,0.0625,3.80,0.3700
P1,,,,,,,,,,,,,3.4,28.5,62.8,0.001,71,0.161,7.75,28.5,52.39,0.0500,19.00,0.3700
P2,,,,,,,,,,,,,6.9,28.4,60.4,0.001,79,0.182,7.70,28.4,52.39,0.0500,34.20,0.3700
P3,,,,,,,,,,,,,7.5,28.5,59.6,0.001,72,0.164,7.66,28.5,52.39,0.0500,48.60,0.3700
P4,,,,,,,,,,,,,8.1,28.3,54.6,0.002,85,0.199,7.61,28.3,52.39,0.0500,63.80,0.3700
P5,,,,,,,,,,,,,7.7,28.2,56.9,0.002,84,0.197,7.56,28.2,52.39,0.0500,79.00,0.3700
K1,,,,,,,,,,,,,7.9,28.4,57.3,0.003,127,0.309,7.80,28.4,52.39,0.0500,3.80,0.4467
K2,,,,,,,,,,,,,7.6,28.4,49.6,0.005,153,0.373,7.80,28.4,52.39,0.0500,3.80,0.5235
K3,,,,,,,,,,,,,6.9,28.4,52.2,0.006,177,0.435,7.80,28.4,52.39,0.0500,3.80,0.6002
K4,,,,,,,,,,,,,8.2,28.2,49.3,0.007,208.9,0.518,7.80,28.2,52.39,0.0500,3.80,0.6769
K5,,,,,,,,,,,,,8,28.2,55,0.1,286,0.716,7.80,28.2,52.39,0.0500,3.80,0.7536
M1,,,,,,,,,,,,,7.8,28.1,58.2,0.003,125,0.302,7.93,28.1,52.39,0.0526,19.00,0.4467
M2,,,,,,,,,,,,,7.3,28,56.3,0.01,287.3,0.723,8.19,28.0,52.39,0.0575,48.60,0.6002
M3,,,,,,,,,,,,,7.9,28,51.3,0.013,351.8,0.885,8.45,28.0,52.39,0.0625,79.00,0.7536
