Crop,n/k,p,urea,MoP,tsP
Boro Rice(BRI 29),0.0,0,2109,1231.0,648.0
Boro Rice(BRI 29),0.01,1,2050,1190.0,621.0
Boro Rice(BRI 29),0.02,2,1991,1149.0,594.0
Boro Rice(BRI 29),0.03,3,1933,1108.0,567.0
Boro Rice(BRI 29),0.04,4,1874,1067.0,540.0
Boro Rice(BRI 29),0.05,5,1816,1026.0,513.0
Boro Rice(BRI 29),0.06,6,1757,985.0,486.0
Boro Rice(BRI 29),0.07,7,1699,944.0,459.0
Boro Rice(BRI 29),0.08,8,1640,903.0,432.0
Boro Rice(BRI 29),0.09,9,1581,862.0,405.0
Boro Rice(BRI 29),0.1,10,1523,821.0,378.0
Boro Rice(BRI 29),0.11,11,1464,780.0,351.0
Boro Rice(BRI 29),0.12,12,1406,739.0,324.0
Boro Rice(BRI 29),0.13,13,1347,698.0,297.0
Boro Rice(BRI 29),0.14,14,1289,656.0,270.0
Boro Rice(BRI 29),0.15,15,1230,615.0,243.0
Boro Rice(BRI 29),0.16,16,1171,574.0,216.0
Boro Rice(BRI 29),0.17,17,1113,533.0,189.0
Boro Rice(BRI 29),0.18,18,1054,492.0,162.0
Boro Rice(BRI 29),0.19,19,996,451.0,135.0
Boro Rice(BRI 29),0.2,20,937,410.0,108.0
Boro Rice(BRI 29),0.21,21,879,369.0,81.0
Boro Rice(BRI 29),0.22,22,820,328.0,54.0
Boro Rice(BRI 29),0.23,23,762,287.0,27.0
Boro Rice(BRI 29),0.24,24,703,246.0,0.0
Boro Rice(BRI 29),0.25,25,644,205.0,0.0
Boro Rice(BRI 29),0.26,26,586,164.0,0.0
Boro Rice(BRI 29),0.27,27,527,123.0,0.0
Boro Rice(BRI 29),0.28,28,469,82.0,0.0
Boro Rice(BRI 29),0.29,29,410,41.0,0.0
Boro Rice(BRI 29),0.3,30,352,0.0,0.0
Boro Rice(BRI 29),0.31,31,293,0.0,0.0
Boro Rice(BRI 29),0.32,32,234,0.0,0.0
Boro Rice(BRI 29),0.33,33,176,0.0,0.0
Boro Rice(BRI 29),0.34,34,117,0.0,0.0
Boro Rice(BRI 29),0.35,35,59,0.0,0.0
Boro Rice(BRI 29),0.36,36,0,0.0,0.0
Boro Rice(BRI 28),0.0,0,1687,972.0,567.0
Boro Rice(BRI 28),0.01,1,1640,939.0,543.0
Boro Rice(BRI 28),0.02,2,1593,907.0,520.0
Boro Rice(BRI 28),0.03,3,1546,874.0,496.0
Boro Rice(BRI 28),0.04,4,1499,842.0,472.0
Boro Rice(BRI 28),0.05,5,1453,810.0,449.0
Boro Rice(BRI 28),0.06,6,1406,777.0,425.0
Boro Rice(BRI 28),0.07,7,1359,745.0,402.0
Boro Rice(BRI 28),0.08,8,1312,713.0,378.0
Boro Rice(BRI 28),0.09,9,1265,680.0,354.0
Boro Rice(BRI 28),0.1,10,1218,648.0,331.0
Boro Rice(BRI 28),0.11,11,1171,615.0,307.0
Boro Rice(BRI 28),0.12,12,1125,583.0,284.0
Boro Rice(BRI 28),0.13,13,1078,551.0,260.0
Boro Rice(BRI 28),0.14,14,1031,518.0,236.0
Boro Rice(BRI 28),0.15,15,984,486.0,213.0
Boro Rice(BRI 28),0.16,16,937,453.0,189.0
Boro Rice(BRI 28),0.17,17,890,421.0,166.0
Boro Rice(BRI 28),0.18,18,843,389.0,142.0
Boro Rice(BRI 28),0.19,19,797,356.0,118.0
Boro Rice(BRI 28),0.2,20,750,324.0,95.0
Boro Rice(BRI 28),0.21,21,703,291.0,71.0
Boro Rice(BRI 28),0.22,22,656,259.0,48.0
Boro Rice(BRI 28),0.23,23,609,227.0,24.0
Boro Rice(BRI 28),0.24,24,562,194.0,0.0
Boro Rice(BRI 28),0.25,25,515,162.0,0.0
Boro Rice(BRI 28),0.26,26,469,130.0,0.0
Boro Rice(BRI 28),0.27,27,422,97.0,0.0
Boro Rice(BRI 28),0.28,28,375,65.0,0.0
Boro Rice(BRI 28),0.29,29,328,32.0,0.0
Boro Rice(BRI 28),0.3,30,281,0.0,0.0
Boro Rice(BRI 28),0.31,31,234,0.0,0.0
Boro Rice(BRI 28),0.32,32,188,0.0,0.0
Boro Rice(BRI 28),0.33,33,141,0.0,0.0
Boro Rice(BRI 28),0.34,34,94,0.0,0.0
Boro Rice(BRI 28),0.35,35,47,0.0,0.0
Boro Rice(BRI 28),0.36,36,0,0.0,0.0
Boro Rice(BRI 36),0.0,0,1406,810.0,486.0
Boro Rice(BRI 36),0.01,1,1367,783.0,466.0
Boro Rice(BRI 36),0.02,2,1328,756.0,445.0
Boro Rice(BRI 36),0.03,3,1289,729.0,425.0
Boro Rice(BRI 36),0.04,4,1249,702.0,405.0
Boro Rice(BRI 36),0.05,5,1210,675.0,385.0
Boro Rice(BRI 36),0.06,6,1171,648.0,364.0
Boro Rice(BRI 36),0.07,7,1132,621.0,344.0
Boro Rice(BRI 36),0.08,8,1093,594.0,324.0
Boro Rice(BRI 36),0.09,9,1054,567.0,304.0
Boro Rice(BRI 36),0.1,10,1015,540.0,283.0
Boro Rice(BRI 36),0.11,11,976,513.0,263.0
Boro Rice(BRI 36),0.12,12,937,486.0,243.0
Boro Rice(BRI 36),0.13,13,898,459.0,223.0
Boro Rice(BRI 36),0.14,14,859,432.0,202.0
Boro Rice(BRI 36),0.15,15,820,405.0,182.0
Boro Rice(BRI 36),0.16,16,781,378.0,162.0
Boro Rice(BRI 36),0.17,17,742,351.0,142.0
Boro Rice(BRI 36),0.18,18,703,324.0,121.0
Boro Rice(BRI 36),0.19,19,664,297.0,101.0
Boro Rice(BRI 36),0.2,20,625,270.0,81.0
Boro Rice(BRI 36),0.21,21,586,243.0,61.0
Boro Rice(BRI 36),0.22,22,547,216.0,40.0
Boro Rice(BRI 36),0.23,23,508,189.0,20.0
Boro Rice(BRI 36),0.24,24,469,162.0,0.0
Boro Rice(BRI 36),0.25,25,430,135.0,0.0
Boro Rice(BRI 36),0.26,26,391,108.0,0.0
Boro Rice(BRI 36),0.27,27,352,81.0,0.0
Boro Rice(BRI 36),0.28,28,312,54.0,0.0
Boro Rice(BRI 36),0.29,29,273,27.0,0.0
Boro Rice(BRI 36),0.3,30,234,0.0,0.0
Boro Rice(BRI 36),0.31,31,195,0.0,0.0
Boro Rice(BRI 36),0.32,32,156,0.0,0.0
Boro Rice(BRI 36),0.33,33,117,0.0,0.0
Boro Rice(BRI 36),0.34,34,78,0.0,0.0
Boro Rice(BRI 36),0.35,35,39,0.0,0.0
Boro Rice(BRI 36),0.36,36,0,0.0,0.0
Aus(BRI 27),0.0,0,773,486.0,324.0
Aus(BRI 27),0.01,1,752,470.0,310.0
Aus(BRI 27),0.02,2,730,453.0,297.0
Aus(BRI 27),0.03,3,709,437.0,283.0
Aus(BRI 27),0.04,4,687,421.0,270.0
Aus(BRI 27),0.05,5,666,405.0,256.0
Aus(BRI 27),0.06,6,644,389.0,243.0
Aus(BRI 27),0.07,7,623,372.0,230.0
Aus(BRI 27),0.08,8,601,356.0,216.0
Aus(BRI 27),0.09,9,580,340.0,203.0
Aus(BRI 27),0.1,10,558,324.0,189.0
Aus(BRI 27),0.11,11,537,308.0,176.0
Aus(BRI 27),0.12,12,515,291.0,162.0
Aus(BRI 27),0.13,13,494,275.0,149.0
Aus(BRI 27),0.14,14,473,259.0,135.0
Aus(BRI 27),0.15,15,451,243.0,122.0
Aus(BRI 27),0.16,16,430,227.0,108.0
Aus(BRI 27),0.17,17,408,211.0,95.0
Aus(BRI 27),0.18,18,387,194.0,81.0
Aus(BRI 27),0.19,19,365,178.0,68.0
Aus(BRI 27),0.2,20,344,162.0,54.0
Aus(BRI 27),0.21,21,322,146.0,41.0
Aus(BRI 27),0.22,22,301,130.0,27.0
Aus(BRI 27),0.23,23,279,113.0,14.0
Aus(BRI 27),0.24,24,258,97.0,0.0
Aus(BRI 27),0.25,25,236,81.0,0.0
Aus(BRI 27),0.26,26,215,65.0,0.0
Aus(BRI 27),0.27,27,193,49.0,0.0
Aus(BRI 27),0.28,28,172,32.0,0.0
Aus(BRI 27),0.29,29,150,16.0,0.0
Aus(BRI 27),0.3,30,129,0.0,0.0
Aus(BRI 27),0.31,31,107,0.0,0.0
Aus(BRI 27),0.32,32,86,0.0,0.0
Aus(BRI 27),0.33,33,65,0.0,0.0
Aus(BRI 27),0.34,34,43,0.0,0.0
Aus(BRI 27),0.35,35,22,0.0,0.0
Aus(BRI 27),0.36,36,0,0.0,0.0
Aus(BRI 42),0.0,0,773,486.0,324.0
Aus(BRI 42),0.01,1,752,470.0,310.0
Aus(BRI 42),0.02,2,730,453.0,297.0
Aus(BRI 42),0.03,3,709,437.0,283.0
Aus(BRI 42),0.04,4,687,421.0,270.0
Aus(BRI 42),0.05,5,666,405.0,256.0
Aus(BRI 42),0.06,6,644,389.0,243.0
Aus(BRI 42),0.07,7,623,372.0,230.0
Aus(BRI 42),0.08,8,601,356.0,216.0
Aus(BRI 42),0.09,9,580,340.0,203.0
Aus(BRI 42),0.1,10,558,324.0,189.0
Aus(BRI 42),0.11,11,537,308.0,176.0
Aus(BRI 42),0.12,12,515,291.0,162.0
Aus(BRI 42),0.13,13,494,275.0,149.0
Aus(BRI 42),0.14,14,473,259.0,135.0
Aus(BRI 42),0.15,15,451,243.0,122.0
Aus(BRI 42),0.16,16,430,227.0,108.0
Aus(BRI 42),0.17,17,408,211.0,95.0
Aus(BRI 42),0.18,18,387,194.0,81.0
Aus(BRI 42),0.19,19,365,178.0,68.0
Aus(BRI 42),0.2,20,344,162.0,54.0
Aus(BRI 42),0.21,21,322,146.0,41.0
Aus(BRI 42),0.22,22,301,130.0,27.0
Aus(BRI 42),0.23,23,279,113.0,14.0
Aus(BRI 42),0.24,24,258,97.0,0.0
Aus(BRI 42),0.25,25,236,81.0,0.0
Aus(BRI 42),0.26,26,215,65.0,0.0
Aus(BRI 42),0.27,27,193,49.0,0.0
Aus(BRI 42),0.28,28,172,32.0,0.0
Aus(BRI 42),0.29,29,150,16.0,0.0
Aus(BRI 42),0.3,30,129,0.0,0.0
Aus(BRI 42),0.31,31,107,0.0,0.0
Aus(BRI 42),0.32,32,86,0.0,0.0
Aus(BRI 42),0.33,33,65,0.0,0.0
Aus(BRI 42),0.34,34,43,0.0,0.0
Aus(BRI 42),0.35,35,22,0.0,0.0
Aus(BRI 42),0.36,36,0,0.0,0.0
B. Aman,0.0,0,422,324.0,243.0
B. Aman,0.01,1,410,313.0,233.0
B. Aman,0.02,2,398,302.0,223.0
B. Aman,0.03,3,387,292.0,213.0
B. Aman,0.04,4,375,281.0,202.0
B. Aman,0.05,5,363,270.0,192.0
B. Aman,0.06,6,351,259.0,182.0
B. Aman,0.07,7,340,248.0,172.0
B. Aman,0.08,8,328,238.0,162.0
B. Aman,0.09,9,316,227.0,152.0
B. Aman,0.1,10,305,216.0,142.0
B. Aman,0.11,11,293,205.0,132.0
B. Aman,0.12,12,281,194.0,121.0
B. Aman,0.13,13,269,184.0,111.0
B. Aman,0.14,14,258,173.0,101.0
B. Aman,0.15,15,246,162.0,91.0
B. Aman,0.16,16,234,151.0,81.0
B. Aman,0.17,17,223,140.0,71.0
B. Aman,0.18,18,211,130.0,61.0
B. Aman,0.19,19,199,119.0,51.0
B. Aman,0.2,20,187,108.0,40.0
B. Aman,0.21,21,176,97.0,30.0
B. Aman,0.22,22,164,86.0,20.0
B. Aman,0.23,23,152,76.0,10.0
B. Aman,0.24,24,141,65.0,0.0
B. Aman,0.25,25,129,54.0,0.0
B. Aman,0.26,26,117,43.0,0.0
B. Aman,0.27,27,106,32.0,0.0
B. Aman,0.28,28,94,22.0,0.0
B. Aman,0.29,29,82,11.0,0.0
B. Aman,0.3,30,70,0.0,0.0
B. Aman,0.31,31,59,0.0,0.0
B. Aman,0.32,32,47,0.0,0.0
B. Aman,0.33,33,35,0.0,0.0
B. Aman,0.34,34,24,0.0,0.0
B. Aman,0.35,35,12,0.0,0.0
B. Aman,0.36,36,0,0.0,0.0
T. Aman(BRRI 51),0.0,0,1054,810.0,405.0
T. Aman(BRRI 51),0.01,1,1025,783.0,388.0
T. Aman(BRRI 51),0.02,2,996,756.0,371.0
T. Aman(BRRI 51),0.03,3,966,729.0,354.0
T. Aman(BRRI 51),0.04,4,937,702.0,337.0
T. Aman(BRRI 51),0.05,5,908,675.0,321.0
T. Aman(BRRI 51),0.06,6,879,648.0,304.0
T. Aman(BRRI 51),0.07,7,849,621.0,287.0
T. Aman(BRRI 51),0.08,8,820,594.0,270.0
T. Aman(BRRI 51),0.09,9,791,567.0,253.0
T. Aman(BRRI 51),0.1,10,761,540.0,236.0
T. Aman(BRRI 51),0.11,11,732,513.0,219.0
T. Aman(BRRI 51),0.12,12,703,486.0,203.0
T. Aman(BRRI 51),0.13,13,674,459.0,186.0
T. Aman(BRRI 51),0.14,14,644,432.0,169.0
T. Aman(BRRI 51),0.15,15,615,405.0,152.0
T. Aman(BRRI 51),0.16,16,586,378.0,135.0
T. Aman(BRRI 51),0.17,17,556,351.0,118.0
T. Aman(BRRI 51),0.18,18,527,324.0,101.0
T. Aman(BRRI 51),0.19,19,498,297.0,84.0
T. Aman(BRRI 51),0.2,20,469,270.0,68.0
T. Aman(BRRI 51),0.21,21,439,243.0,51.0
T. Aman(BRRI 51),0.22,22,410,216.0,34.0
T. Aman(BRRI 51),0.23,23,381,189.0,17.0
T. Aman(BRRI 51),0.24,24,351,162.0,0.0
T. Aman(BRRI 51),0.25,25,322,135.0,0.0
T. Aman(BRRI 51),0.26,26,293,108.0,0.0
T. Aman(BRRI 51),0.27,27,264,81.0,0.0
T. Aman(BRRI 51),0.28,28,234,54.0,0.0
T. Aman(BRRI 51),0.29,29,205,27.0,0.0
T. Aman(BRRI 51),0.3,30,176,0.0,0.0
T. Aman(BRRI 51),0.31,31,147,0.0,0.0
T. Aman(BRRI 51),0.32,32,117,0.0,0.0
T. Aman(BRRI 51),0.33,33,88,0.0,0.0
T. Aman(BRRI 51),0.34,34,59,0.0,0.0
T. Aman(BRRI 51),0.35,35,29,0.0,0.0
T. Aman(BRRI 51),0.36,36,0,0.0,0.0
T. Aman(BRRI 25),0.0,0,843,648.0,324.0
T. Aman(BRRI 25),0.01,1,820,626.0,310.0
T. Aman(BRRI 25),0.02,2,797,605.0,297.0
T. Aman(BRRI 25),0.03,3,773,583.0,283.0
T. Aman(BRRI 25),0.04,4,750,561.0,270.0
T. Aman(BRRI 25),0.05,5,726,540.0,256.0
T. Aman(BRRI 25),0.06,6,703,518.0,243.0
T. Aman(BRRI 25),0.07,7,679,497.0,230.0
T. Aman(BRRI 25),0.08,8,656,475.0,216.0
T. Aman(BRRI 25),0.09,9,633,453.0,203.0
T. Aman(BRRI 25),0.1,10,609,432.0,189.0
T. Aman(BRRI 25),0.11,11,586,410.0,176.0
T. Aman(BRRI 25),0.12,12,562,389.0,162.0
T. Aman(BRRI 25),0.13,13,539,367.0,149.0
T. Aman(BRRI 25),0.14,14,515,346.0,135.0
T. Aman(BRRI 25),0.15,15,492,324.0,122.0
T. Aman(BRRI 25),0.16,16,469,302.0,108.0
T. Aman(BRRI 25),0.17,17,445,281.0,95.0
T. Aman(BRRI 25),0.18,18,422,259.0,81.0
T. Aman(BRRI 25),0.19,19,398,238.0,68.0
T. Aman(BRRI 25),0.2,20,375,216.0,54.0
T. Aman(BRRI 25),0.21,21,352,194.0,41.0
T. Aman(BRRI 25),0.22,22,328,173.0,27.0
T. Aman(BRRI 25),0.23,23,305,151.0,14.0
T. Aman(BRRI 25),0.24,24,281,130.0,0.0
T. Aman(BRRI 25),0.25,25,258,108.0,0.0
T. Aman(BRRI 25),0.26,26,234,87.0,0.0
T. Aman(BRRI 25),0.27,27,211,65.0,0.0
T. Aman(BRRI 25),0.28,28,188,43.0,0.0
T. Aman(BRRI 25),0.29,29,164,22.0,0.0
T. Aman(BRRI 25),0.3,30,141,0.0,0.0
T. Aman(BRRI 25),0.31,31,117,0.0,0.0
T. Aman(BRRI 25),0.32,32,94,0.0,0.0
T. Aman(BRRI 25),0.33,33,70,0.0,0.0
T. Aman(BRRI 25),0.34,34,47,0.0,0.0
T. Aman(BRRI 25),0.35,35,24,0.0,0.0
T. Aman(BRRI 25),0.36,36,0,0.0,0.0
T. Aman(Binadhan 9),0.0,0,633,486.0,243.0
T. Aman(Binadhan 9),0.01,1,615,470.0,233.0
T. Aman(Binadhan 9),0.02,2,597,453.0,223.0
T. Aman(Binadhan 9),0.03,3,580,437.0,213.0
T. Aman(Binadhan 9),0.04,4,562,421.0,202.0
T. Aman(Binadhan 9),0.05,5,545,405.0,192.0
T. Aman(Binadhan 9),0.06,6,527,389.0,182.0
T. Aman(Binadhan 9),0.07,7,510,372.0,172.0
T. Aman(Binadhan 9),0.08,8,492,356.0,162.0
T. Aman(Binadhan 9),0.09,9,474,340.0,152.0
T. Aman(Binadhan 9),0.1,10,457,324.0,142.0
T. Aman(Binadhan 9),0.11,11,439,308.0,132.0
T. Aman(Binadhan 9),0.12,12,422,291.0,121.0
T. Aman(Binadhan 9),0.13,13,404,275.0,111.0
T. Aman(Binadhan 9),0.14,14,387,259.0,101.0
T. Aman(Binadhan 9),0.15,15,369,243.0,91.0
T. Aman(Binadhan 9),0.16,16,351,227.0,81.0
T. Aman(Binadhan 9),0.17,17,334,211.0,71.0
T. Aman(Binadhan 9),0.18,18,316,194.0,61.0
T. Aman(Binadhan 9),0.19,19,299,178.0,51.0
T. Aman(Binadhan 9),0.2,20,281,162.0,40.0
T. Aman(Binadhan 9),0.21,21,264,146.0,30.0
T. Aman(Binadhan 9),0.22,22,246,130.0,20.0
T. Aman(Binadhan 9),0.23,23,228,113.0,10.0
T. Aman(Binadhan 9),0.24,24,211,97.0,0.0
T. Aman(Binadhan 9),0.25,25,193,81.0,0.0
T. Aman(Binadhan 9),0.26,26,176,65.0,0.0
T. Aman(Binadhan 9),0.27,27,158,49.0,0.0
T. Aman(Binadhan 9),0.28,28,141,32.0,0.0
T. Aman(Binadhan 9),0.29,29,123,16.0,0.0
T. Aman(Binadhan 9),0.3,30,105,0.0,0.0
T. Aman(Binadhan 9),0.31,31,88,0.0,0.0
T. Aman(Binadhan 9),0.32,32,70,0.0,0.0
T. Aman(Binadhan 9),0.33,33,53,0.0,0.0
T. Aman(Binadhan 9),0.34,34,35,0.0,0.0
T. Aman(Binadhan 9),0.35,35,18,0.0,0.0
T. Aman(Binadhan 9),0.36,36,0,0.0,0.0
